,id,Date,Address,Postal Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month_end_day,Province
94803,94814,2014-02-01,"tullan strand rd, bundoran, strand rd",,Donegal,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
94825,94846,2014-03-01,"liseux, rahardum, virginia",,Cavan,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
94910,94935,2014-07-01,"58 stradabrooey, gweedore, donegal",,Donegal,33000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
94941,94940,2014-07-01,"7 woodbrook, kinnegar rd, rathmullan",,Donegal,150000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
94949,94944,2014-07-01,"ankari, lackenmore, new inns",,Cavan,169000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
94961,94983,2014-08-01,"48 beechwood, convoy, donegal",,Donegal,37000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-08-31,Ulster
94966,94992,2014-08-01,"8 ashgrove, derrylurgan rd, ballyjamesduff",,Cavan,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-08-31,Ulster
94977,95007,2014-08-01,"corclare, shercock, cavan",,Cavan,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-08-31,Ulster
94982,94975,2014-08-01,"23 yew park, virginia, cavan",,Cavan,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-08-31,Ulster
95016,95080,2014-09-01,"tonbane, rindrum po, fanad",,Donegal,20000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-09-30,Ulster
95018,95049,2014-09-01,"43 hazelbrook cresent, letterkenny, donegal",,Donegal,22000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-09-30,Ulster
95021,95074,2014-09-01,"iskaheen, muff, co donegal",,Donegal,26000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-09-30,Ulster
95056,95079,2014-09-01,"roshan farm, forquar, milford",,Donegal,165000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-09-30,Ulster
95092,95160,2014-10-01,"9 muckish ave, letterkenny, donegal",,Donegal,46800.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
95104,95144,2014-10-01,"50 cloncool, buncrana, donegal",,Donegal,82500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
95153,95086,2014-10-01,"11 ard na greine, tirmacool, buncrana",,Donegal,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
95216,95216,2014-01-13,"28 rowan park, letterkenny, co donegal",,Donegal,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95223,95241,2014-01-13,"dysart, letterbarrow, donegal town",,Donegal,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95273,95272,2014-01-14,"17 foxhills, letterkeeny, donegal",,Donegal,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95275,95274,2014-01-14,"20 ard o'donnell rd, letterkenny, co donegal",,Donegal,62000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95299,95281,2014-01-14,"315 coneyburrow, lifford, donegal",,Donegal,125000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95324,95320,2014-01-14,"moorfield lodge, aughnagaddy glebe, ramelton",,Donegal,710000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95335,95377,2014-01-15,"ballybolauder, kilmacrenan",,Donegal,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
